[DEBUG] 2022-06-14 19:36:11.257 [main] StatisticsInitiator - Statistics initialized [enabled=true]
[DEBUG] 2022-06-14 19:36:14.319 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 1229ms, rows: 10000
[DEBUG] 2022-06-14 19:36:14.366 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 4ms, rows: 10
[DEBUG] 2022-06-14 19:36:14.374 [main] StatisticsImpl - HHH000117: HQL: select count(generatedAlias0) from orders as generatedAlias0, time: 3ms, rows: 1
[DEBUG] 2022-06-14 19:37:26.035 [main] StatisticsInitiator - Statistics initialized [enabled=true]
[DEBUG] 2022-06-14 19:37:29.297 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 1282ms, rows: 10000
[DEBUG] 2022-06-14 19:37:29.342 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 5ms, rows: 10
[DEBUG] 2022-06-14 19:37:29.350 [main] StatisticsImpl - HHH000117: HQL: select count(generatedAlias0) from orders as generatedAlias0, time: 3ms, rows: 1
[DEBUG] 2022-06-14 19:37:30.206 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 826ms, rows: 10000
[DEBUG] 2022-06-14 19:37:30.236 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 3ms, rows: 10
[DEBUG] 2022-06-14 19:37:30.240 [main] StatisticsImpl - HHH000117: HQL: select count(generatedAlias0) from orders as generatedAlias0, time: 3ms, rows: 1
[DEBUG] 2022-06-14 19:37:30.918 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 656ms, rows: 10000
[DEBUG] 2022-06-14 19:37:30.945 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 3ms, rows: 10
[DEBUG] 2022-06-14 19:37:30.950 [main] StatisticsImpl - HHH000117: HQL: select count(generatedAlias0) from orders as generatedAlias0, time: 4ms, rows: 1
[DEBUG] 2022-06-14 19:37:31.618 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 647ms, rows: 10000
[DEBUG] 2022-06-14 19:37:31.646 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 3ms, rows: 10
[DEBUG] 2022-06-14 19:37:31.650 [main] StatisticsImpl - HHH000117: HQL: select count(generatedAlias0) from orders as generatedAlias0, time: 3ms, rows: 1
[DEBUG] 2022-06-14 19:37:32.252 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 581ms, rows: 10000
[DEBUG] 2022-06-14 19:37:32.277 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 2ms, rows: 10
[DEBUG] 2022-06-14 19:37:32.281 [main] StatisticsImpl - HHH000117: HQL: select count(generatedAlias0) from orders as generatedAlias0, time: 3ms, rows: 1
[DEBUG] 2022-06-14 19:37:33.010 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 712ms, rows: 10000
[DEBUG] 2022-06-14 19:37:33.034 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 2ms, rows: 10
[DEBUG] 2022-06-14 19:37:33.037 [main] StatisticsImpl - HHH000117: HQL: select count(generatedAlias0) from orders as generatedAlias0, time: 3ms, rows: 1
[DEBUG] 2022-06-14 19:37:33.662 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 603ms, rows: 10000
[DEBUG] 2022-06-14 19:37:33.685 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 2ms, rows: 10
[DEBUG] 2022-06-14 19:37:33.688 [main] StatisticsImpl - HHH000117: HQL: select count(generatedAlias0) from orders as generatedAlias0, time: 2ms, rows: 1
[DEBUG] 2022-06-14 19:37:34.256 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 548ms, rows: 10000
[DEBUG] 2022-06-14 19:37:34.278 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 2ms, rows: 10
[DEBUG] 2022-06-14 19:37:34.281 [main] StatisticsImpl - HHH000117: HQL: select count(generatedAlias0) from orders as generatedAlias0, time: 2ms, rows: 1
[DEBUG] 2022-06-14 19:37:34.825 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 527ms, rows: 10000
[DEBUG] 2022-06-14 19:37:34.845 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 2ms, rows: 10
[DEBUG] 2022-06-14 19:37:34.848 [main] StatisticsImpl - HHH000117: HQL: select count(generatedAlias0) from orders as generatedAlias0, time: 2ms, rows: 1
[DEBUG] 2022-06-14 19:37:35.397 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 533ms, rows: 10000
[DEBUG] 2022-06-14 19:37:35.415 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 2ms, rows: 10
[DEBUG] 2022-06-14 19:37:35.418 [main] StatisticsImpl - HHH000117: HQL: select count(generatedAlias0) from orders as generatedAlias0, time: 2ms, rows: 1
[DEBUG] 2022-06-14 19:38:35.236 [main] StatisticsInitiator - Statistics initialized [enabled=true]
[DEBUG] 2022-06-14 19:38:37.529 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 46ms, rows: 10
[DEBUG] 2022-06-14 19:38:37.538 [main] StatisticsImpl - HHH000117: HQL: select count(generatedAlias0) from orders as generatedAlias0, time: 4ms, rows: 1
[DEBUG] 2022-06-14 19:39:32.934 [main] StatisticsInitiator - Statistics initialized [enabled=true]
[DEBUG] 2022-06-14 19:39:34.997 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 43ms, rows: 10
[DEBUG] 2022-06-14 19:39:35.007 [main] StatisticsImpl - HHH000117: HQL: select count(generatedAlias0) from orders as generatedAlias0, time: 4ms, rows: 1
[DEBUG] 2022-06-14 19:42:33.158 [main] StatisticsInitiator - Statistics initialized [enabled=true]
[DEBUG] 2022-06-14 19:42:35.180 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 49ms, rows: 10
[DEBUG] 2022-06-14 19:42:35.191 [main] StatisticsImpl - HHH000117: HQL: select count(generatedAlias0) from orders as generatedAlias0, time: 3ms, rows: 1
[DEBUG] 2022-06-14 19:42:46.051 [main] StatisticsInitiator - Statistics initialized [enabled=true]
[DEBUG] 2022-06-14 19:42:49.659 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 1690ms, rows: 10000
[DEBUG] 2022-06-14 19:42:49.726 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 5ms, rows: 10
[DEBUG] 2022-06-14 19:42:49.736 [main] StatisticsImpl - HHH000117: HQL: select count(generatedAlias0) from orders as generatedAlias0, time: 4ms, rows: 1
[DEBUG] 2022-06-14 19:42:49.759 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 5ms, rows: 10
